date;Baftas 2023;Dogs;Amphibians;Epilepsy;air travel;isPartial
2023-01-01;0;98;0;2;1;False
2023-01-02;0;90;0;3;1;False
2023-01-03;0;84;0;2;1;False
2023-01-04;0;77;0;2;1;False
2023-01-05;0;87;0;2;1;False
2023-01-06;0;81;0;2;1;False
2023-01-07;0;81;0;2;1;False
2023-01-08;0;89;0;2;1;False
2023-01-09;0;77;0;3;1;False
2023-01-10;0;71;0;2;1;False
2023-01-11;0;72;0;3;1;False
2023-01-12;0;78;0;3;1;False
2023-01-13;0;88;1;3;1;False
2023-01-14;0;100;0;2;1;False
2023-01-15;0;95;0;2;1;False
2023-01-16;0;79;0;2;1;False
2023-01-17;0;75;0;3;1;False
2023-01-18;0;80;0;2;1;False
2023-01-19;1;74;0;2;1;False
2023-01-20;0;80;0;2;1;False
2023-01-21;0;90;0;2;1;False
2023-01-22;0;88;0;2;1;False
2023-01-23;0;72;0;3;1;False
2023-01-24;0;77;0;3;1;False
2023-01-25;0;72;0;2;1;False
2023-01-26;0;73;0;2;1;False
2023-01-27;0;78;0;3;1;False
2023-01-28;0;82;0;2;1;False
2023-01-29;0;85;0;2;1;False
2023-01-30;0;73;0;3;2;False
2023-01-31;0;82;0;2;1;False
