date;climatecast;Oil and gas companies;mental health;Honours system;air travel;isPartial
2023-01-01;0;0;42;0;5;False
2023-01-02;0;0;55;0;6;False
2023-01-03;0;0;74;0;4;False
2023-01-04;0;0;82;0;6;False
2023-01-05;0;0;84;1;5;False
2023-01-06;0;0;75;0;5;False
2023-01-07;0;0;49;0;4;False
2023-01-08;0;0;59;0;6;False
2023-01-09;0;1;83;1;3;False
2023-01-10;0;0;88;1;5;False
2023-01-11;0;0;86;0;6;False
2023-01-12;0;1;93;1;5;False
2023-01-13;0;0;71;0;4;False
2023-01-14;0;0;54;0;4;False
2023-01-15;0;0;56;0;5;False
2023-01-16;0;0;91;0;5;False
2023-01-17;0;0;91;1;4;False
2023-01-18;0;0;88;0;5;False
2023-01-19;0;0;91;0;5;False
2023-01-20;0;0;81;0;4;False
2023-01-21;0;0;52;1;4;False
2023-01-22;0;1;60;0;5;False
2023-01-23;0;0;95;1;5;False
2023-01-24;0;0;95;0;4;False
2023-01-25;0;0;93;0;5;False
2023-01-26;0;0;94;0;5;False
2023-01-27;0;0;77;0;3;False
2023-01-28;0;0;51;0;5;False
2023-01-29;0;1;54;1;4;False
2023-01-30;0;0;100;0;7;False
2023-01-31;0;1;93;0;6;False
