date;Panama;LGBTQ+ rights;Meghan, the Duchess of Sussex;Nestlé;air travel;isPartial
2023-01-01;10;51;0;1;7;False
2023-01-02;9;58;0;0;8;False
2023-01-03;10;78;0;1;5;False
2023-01-04;9;79;0;0;8;False
2023-01-05;10;79;0;0;7;False
2023-01-06;10;82;0;0;7;False
2023-01-07;11;59;0;0;5;False
2023-01-08;10;70;0;0;8;False
2023-01-09;10;86;0;0;5;False
2023-01-10;11;91;0;0;7;False
2023-01-11;10;85;0;1;8;False
2023-01-12;11;100;0;1;7;False
2023-01-13;11;79;0;1;6;False
2023-01-14;11;63;0;1;5;False
2023-01-15;13;64;0;0;6;False
2023-01-16;11;94;0;0;6;False
2023-01-17;9;92;0;1;5;False
2023-01-18;13;92;0;0;7;False
2023-01-19;10;89;0;0;7;False
2023-01-20;12;83;0;1;5;False
2023-01-21;12;64;0;1;6;False
2023-01-22;10;64;0;0;6;False
2023-01-23;12;84;0;1;7;False
2023-01-24;10;97;0;1;5;False
2023-01-25;10;85;0;0;7;False
2023-01-26;12;91;0;0;6;False
2023-01-27;9;78;0;2;4;False
2023-01-28;12;52;0;0;6;False
2023-01-29;11;58;0;0;6;False
2023-01-30;14;93;0;1;9;False
2023-01-31;12;96;0;2;8;False
