date;Liz Truss;Judd Apatow;Commonwealth immigration;Disability;air travel;isPartial
2023-01-01;17;0;1;62;10;False
2023-01-02;10;1;0;59;12;False
2023-01-03;9;2;0;79;8;False
2023-01-04;14;0;0;82;12;False
2023-01-05;10;0;1;81;10;False
2023-01-06;11;0;0;93;10;False
2023-01-07;6;0;2;70;7;False
2023-01-08;11;0;0;58;11;False
2023-01-09;7;1;1;81;7;False
2023-01-10;10;2;0;93;10;False
2023-01-11;9;0;0;94;12;False
2023-01-12;11;1;0;100;10;False
2023-01-13;13;0;0;86;8;False
2023-01-14;8;1;1;50;7;False
2023-01-15;8;1;0;58;9;False
2023-01-16;14;1;2;90;9;False
2023-01-17;8;1;1;92;7;False
2023-01-18;25;1;0;89;11;False
2023-01-19;24;0;0;95;10;False
2023-01-20;12;1;1;88;8;False
2023-01-21;5;0;1;65;8;False
2023-01-22;9;1;0;58;9;False
2023-01-23;11;1;0;88;9;False
2023-01-24;11;0;0;96;7;False
2023-01-25;12;0;0;91;10;False
2023-01-26;10;0;0;88;9;False
2023-01-27;9;1;0;81;6;False
2023-01-28;6;0;2;50;9;False
2023-01-29;18;2;0;64;8;False
2023-01-30;8;1;0;93;13;False
2023-01-31;16;0;2;92;11;False
