date;Triple J Hottest 100;Singapore;Sandi Toksvig;Aston Villa Women;air travel;isPartial
2023-01-01;0;78;3;0;7;False
2023-01-02;0;84;4;1;8;False
2023-01-03;0;83;3;1;5;False
2023-01-04;1;80;1;1;8;False
2023-01-05;1;84;4;2;7;False
2023-01-06;0;80;5;0;7;False
2023-01-07;0;76;2;1;5;False
2023-01-08;0;87;3;1;8;False
2023-01-09;0;83;4;1;5;False
2023-01-10;1;100;3;1;7;False
2023-01-11;1;85;1;0;8;False
2023-01-12;0;94;2;1;7;False
2023-01-13;0;79;3;1;6;False
2023-01-14;0;87;3;6;5;False
2023-01-15;0;87;3;1;6;False
2023-01-16;0;81;3;1;6;False
2023-01-17;0;83;2;1;5;False
2023-01-18;1;84;6;1;7;False
2023-01-19;1;86;1;0;7;False
2023-01-20;0;84;4;0;5;False
2023-01-21;0;80;2;5;6;False
2023-01-22;1;85;2;1;7;False
2023-01-23;0;81;2;1;7;False
2023-01-24;0;85;2;1;5;False
2023-01-25;0;79;2;1;7;False
2023-01-26;0;73;4;8;6;False
2023-01-27;0;84;4;1;4;False
2023-01-28;4;72;5;1;6;False
2023-01-29;0;82;0;7;6;False
2023-01-30;1;82;4;2;9;False
2023-01-31;0;79;1;1;8;False
