date;Baz Luhrmann;julian assange;analysis;playstation;air travel;isPartial
2023-01-01;1;8;34;90;6;False
2023-01-02;5;3;60;85;7;False
2023-01-03;2;2;67;72;4;False
2023-01-04;3;1;78;65;7;False
2023-01-05;1;2;78;63;5;False
2023-01-06;1;2;71;70;5;False
2023-01-07;1;0;55;75;4;False
2023-01-08;2;1;70;76;6;False
2023-01-09;1;2;96;58;4;False
2023-01-10;2;3;100;57;6;False
2023-01-11;2;1;97;55;7;False
2023-01-12;1;1;98;88;6;False
2023-01-13;3;1;76;66;4;False
2023-01-14;3;1;49;76;4;False
2023-01-15;3;1;67;72;5;False
2023-01-16;2;0;100;54;5;False
2023-01-17;0;0;88;49;4;False
2023-01-18;1;1;98;52;6;False
2023-01-19;1;1;91;49;5;False
2023-01-20;1;2;78;57;4;False
2023-01-21;3;2;47;73;5;False
2023-01-22;2;2;58;68;5;False
2023-01-23;1;1;96;54;5;False
2023-01-24;2;0;97;50;4;False
2023-01-25;0;2;93;55;6;False
2023-01-26;1;1;79;59;5;False
2023-01-27;1;0;71;56;3;False
2023-01-28;2;2;44;69;5;False
2023-01-29;0;1;62;66;4;False
2023-01-30;1;1;92;59;7;False
2023-01-31;1;1;94;60;6;False
