date;Prince Louis;coal;Fish;Jamal Khashoggi;air travel;isPartial
2023-01-01;0;7;84;0;1;False
2023-01-02;0;7;95;0;2;False
2023-01-03;0;8;75;0;1;False
2023-01-04;0;7;65;0;2;False
2023-01-05;0;6;67;0;1;False
2023-01-06;0;7;86;0;1;False
2023-01-07;0;7;95;0;1;False
2023-01-08;0;7;89;0;2;False
2023-01-09;0;7;65;0;1;False
2023-01-10;0;7;66;0;1;False
2023-01-11;1;7;66;0;2;False
2023-01-12;0;7;69;0;1;False
2023-01-13;0;7;85;0;1;False
2023-01-14;0;7;87;0;1;False
2023-01-15;0;7;77;0;1;False
2023-01-16;0;8;67;0;1;False
2023-01-17;0;9;68;0;1;False
2023-01-18;0;8;64;0;1;False
2023-01-19;0;9;68;0;1;False
2023-01-20;0;8;95;0;1;False
2023-01-21;0;9;100;0;1;False
2023-01-22;0;9;83;0;1;False
2023-01-23;0;9;61;0;1;False
2023-01-24;0;8;78;0;1;False
2023-01-25;0;8;73;0;1;False
2023-01-26;0;7;74;0;1;False
2023-01-27;0;7;86;0;1;False
2023-01-28;0;7;97;0;1;False
2023-01-29;0;8;81;0;1;False
2023-01-30;0;7;75;0;2;False
2023-01-31;0;7;76;0;2;False
