date;US domestic policy;Jermyn Street Theatre;Jack Whitehall;Benefits;air travel;isPartial
2023-01-01;0;0;3;76;3;False
2023-01-02;0;0;1;89;3;False
2023-01-03;0;0;1;94;2;False
2023-01-04;0;0;1;98;3;False
2023-01-05;0;0;2;92;2;False
2023-01-06;0;0;1;91;2;False
2023-01-07;0;0;2;86;2;False
2023-01-08;0;0;1;95;3;False
2023-01-09;0;0;1;94;2;False
2023-01-10;0;0;1;99;3;False
2023-01-11;0;0;1;100;3;False
2023-01-12;0;0;1;97;3;False
2023-01-13;0;0;1;84;2;False
2023-01-14;0;0;1;78;2;False
2023-01-15;0;1;3;85;2;False
2023-01-16;0;0;3;93;2;False
2023-01-17;0;0;1;98;2;False
2023-01-18;0;0;1;97;3;False
2023-01-19;0;0;1;96;2;False
2023-01-20;0;0;3;85;2;False
2023-01-21;0;0;2;84;2;False
2023-01-22;0;0;2;89;2;False
2023-01-23;0;0;2;99;2;False
2023-01-24;0;0;1;98;2;False
2023-01-25;0;0;1;94;3;False
2023-01-26;0;0;1;89;2;False
2023-01-27;0;0;3;84;2;False
2023-01-28;0;0;2;77;2;False
2023-01-29;0;0;2;86;2;False
2023-01-30;0;0;1;97;3;False
2023-01-31;0;0;1;96;3;False
