date;Happy Valley;Steve Smith;amy winehouse;Attention deficit hyperactivity disorder;air travel;isPartial
2023-01-01;86;0;2;0;1;False
2023-01-02;63;0;1;0;2;False
2023-01-03;33;0;1;0;1;False
2023-01-04;28;0;1;0;2;False
2023-01-05;24;1;1;0;1;False
2023-01-06;26;1;1;0;1;False
2023-01-07;26;0;1;0;1;False
2023-01-08;63;0;1;0;2;False
2023-01-09;44;0;1;0;1;False
2023-01-10;33;1;1;0;1;False
2023-01-11;26;0;1;0;2;False
2023-01-12;26;0;1;0;1;False
2023-01-13;27;0;3;0;1;False
2023-01-14;26;0;5;0;1;False
2023-01-15;65;0;3;0;1;False
2023-01-16;44;0;3;0;1;False
2023-01-17;32;0;4;0;1;False
2023-01-18;31;0;3;0;1;False
2023-01-19;26;1;3;0;1;False
2023-01-20;27;0;2;0;1;False
2023-01-21;32;1;2;0;1;False
2023-01-22;70;0;3;0;1;False
2023-01-23;52;0;3;0;1;False
2023-01-24;42;0;3;0;1;False
2023-01-25;32;0;3;0;1;False
2023-01-26;31;0;2;0;1;False
2023-01-27;28;0;2;0;1;False
2023-01-28;35;0;2;0;1;False
2023-01-29;100;0;2;0;1;False
2023-01-30;58;0;2;0;2;False
2023-01-31;42;0;2;0;2;False
