date;Beauty;Private equity;Bedfordshire;Travel photography;air travel;isPartial
2023-01-01;90;2;6;0;3;False
2023-01-02;100;1;8;0;3;False
2023-01-03;94;3;9;0;2;False
2023-01-04;96;4;8;0;3;False
2023-01-05;94;3;8;0;3;False
2023-01-06;97;3;8;0;3;False
2023-01-07;91;2;7;0;2;False
2023-01-08;95;2;7;0;3;False
2023-01-09;84;3;9;0;2;False
2023-01-10;88;5;9;0;3;False
2023-01-11;86;4;8;0;3;False
2023-01-12;91;4;9;0;3;False
2023-01-13;89;3;9;0;2;False
2023-01-14;92;2;7;0;2;False
2023-01-15;92;3;5;0;3;False
2023-01-16;83;4;9;0;3;False
2023-01-17;89;4;9;0;2;False
2023-01-18;91;4;8;0;3;False
2023-01-19;90;5;8;0;3;False
2023-01-20;89;3;8;0;2;False
2023-01-21;96;3;7;0;2;False
2023-01-22;87;2;7;0;3;False
2023-01-23;93;5;9;0;3;False
2023-01-24;94;4;8;0;2;False
2023-01-25;91;5;8;0;3;False
2023-01-26;93;5;8;0;3;False
2023-01-27;92;4;9;0;2;False
2023-01-28;94;2;7;0;3;False
2023-01-29;92;2;6;0;2;False
2023-01-30;93;6;8;0;4;False
2023-01-31;98;4;8;0;3;False
