date;Australian Greens;Automotive industry;Stephen Daldry;Antibiotics;air travel;isPartial
2023-01-01;0;1;0;83;8;False
2023-01-02;1;0;1;86;10;False
2023-01-03;1;1;0;100;6;False
2023-01-04;0;1;0;93;9;False
2023-01-05;0;1;1;95;8;False
2023-01-06;0;1;0;87;8;False
2023-01-07;0;2;0;69;6;False
2023-01-08;0;1;1;69;9;False
2023-01-09;0;2;0;81;5;False
2023-01-10;0;2;0;80;8;False
2023-01-11;0;1;0;74;10;False
2023-01-12;0;0;0;78;8;False
2023-01-13;0;1;0;77;6;False
2023-01-14;0;0;1;65;6;False
2023-01-15;0;1;0;61;7;False
2023-01-16;0;2;1;70;7;False
2023-01-17;0;1;0;63;6;False
2023-01-18;0;2;0;70;9;False
2023-01-19;0;2;1;71;8;False
2023-01-20;0;1;0;66;6;False
2023-01-21;1;1;1;63;7;False
2023-01-22;0;0;0;58;7;False
2023-01-23;0;2;0;66;8;False
2023-01-24;0;0;0;69;6;False
2023-01-25;0;3;0;65;8;False
2023-01-26;0;1;0;67;7;False
2023-01-27;0;0;0;63;5;False
2023-01-28;0;0;1;57;7;False
2023-01-29;0;1;0;54;6;False
2023-01-30;0;1;0;72;11;False
2023-01-31;0;1;0;69;9;False
