date;California drought;edinburgh;love island;Scottish politics;air travel;isPartial
2023-01-01;0;64;11;0;1;False
2023-01-02;0;70;11;0;1;False
2023-01-03;0;70;11;0;1;False
2023-01-04;0;69;11;0;1;False
2023-01-05;0;64;11;0;1;False
2023-01-06;0;62;12;0;1;False
2023-01-07;0;59;11;0;1;False
2023-01-08;0;59;12;0;1;False
2023-01-09;0;64;26;0;1;False
2023-01-10;0;65;20;0;1;False
2023-01-11;0;59;14;0;1;False
2023-01-12;0;63;16;0;1;False
2023-01-13;0;62;12;0;1;False
2023-01-14;0;65;15;0;1;False
2023-01-15;0;64;26;0;1;False
2023-01-16;0;62;100;0;1;False
2023-01-17;0;64;82;0;1;False
2023-01-18;0;70;53;0;1;False
2023-01-19;0;65;40;0;1;False
2023-01-20;0;64;44;0;1;False
2023-01-21;0;67;37;0;1;False
2023-01-22;0;63;40;0;1;False
2023-01-23;0;93;45;0;1;False
2023-01-24;0;82;56;0;1;False
2023-01-25;0;64;42;0;1;False
2023-01-26;0;59;35;0;1;False
2023-01-27;0;70;31;0;1;False
2023-01-28;0;67;25;0;1;False
2023-01-29;0;64;29;0;1;False
2023-01-30;0;71;30;0;1;False
2023-01-31;0;74;32;0;1;False
