date;sainsburys;Angers SCO;Oil;Productivity;air travel;isPartial
2023-01-01;74;0;65;1;1;False
2023-01-02;52;0;87;1;1;False
2023-01-03;30;0;89;1;1;False
2023-01-04;32;0;85;1;1;False
2023-01-05;30;0;75;1;1;False
2023-01-06;30;0;79;1;1;False
2023-01-07;31;0;92;1;1;False
2023-01-08;35;0;90;1;1;False
2023-01-09;28;0;85;1;1;False
2023-01-10;29;0;83;1;1;False
2023-01-11;27;0;77;1;1;False
2023-01-12;30;0;87;1;1;False
2023-01-13;28;0;80;1;1;False
2023-01-14;29;0;83;1;1;False
2023-01-15;32;0;91;1;1;False
2023-01-16;29;0;85;1;1;False
2023-01-17;28;0;84;1;1;False
2023-01-18;28;0;75;1;1;False
2023-01-19;27;0;83;1;1;False
2023-01-20;28;0;79;1;1;False
2023-01-21;33;0;87;0;1;False
2023-01-22;33;0;86;1;1;False
2023-01-23;30;0;95;1;1;False
2023-01-24;30;0;84;1;1;False
2023-01-25;29;0;77;1;1;False
2023-01-26;27;0;72;1;1;False
2023-01-27;30;0;78;1;1;False
2023-01-28;30;0;83;1;1;False
2023-01-29;32;0;100;1;1;False
2023-01-30;28;0;89;1;2;False
2023-01-31;30;0;91;1;1;False
