date;Gary Lineker;Edvard Munch;Gillian Anderson;Evgeny Lebedev;air travel;isPartial
2023-01-01;5;2;5;0;8;False
2023-01-02;7;0;3;0;9;False
2023-01-03;4;0;3;0;6;False
2023-01-04;2;0;4;0;9;False
2023-01-05;3;1;2;0;7;False
2023-01-06;5;1;4;0;8;False
2023-01-07;6;0;9;1;5;False
2023-01-08;12;1;7;0;9;False
2023-01-09;4;2;5;0;5;False
2023-01-10;2;1;2;0;8;False
2023-01-11;3;0;3;1;9;False
2023-01-12;3;0;3;0;8;False
2023-01-13;5;1;5;0;6;False
2023-01-14;7;0;6;1;6;False
2023-01-15;5;1;5;0;7;False
2023-01-16;2;3;5;0;7;False
2023-01-17;54;1;3;0;6;False
2023-01-18;100;1;3;1;8;False
2023-01-19;35;1;4;1;7;False
2023-01-20;15;1;5;0;6;False
2023-01-21;14;1;4;2;6;False
2023-01-22;10;1;4;0;7;False
2023-01-23;4;0;4;0;7;False
2023-01-24;2;1;4;0;6;False
2023-01-25;2;0;4;0;8;False
2023-01-26;2;1;2;0;7;False
2023-01-27;3;1;3;0;5;False
2023-01-28;10;0;1;0;7;False
2023-01-29;11;0;5;0;6;False
2023-01-30;4;1;2;0;10;False
2023-01-31;3;1;4;0;9;False
