date;US political lobbying;TV comedy;La Liga;Mobile games;air travel;isPartial
2023-01-01;0;7;50;8;10;False
2023-01-02;0;5;30;11;12;False
2023-01-03;0;3;25;6;8;False
2023-01-04;0;3;23;7;12;False
2023-01-05;0;3;24;5;10;False
2023-01-06;0;7;33;6;10;False
2023-01-07;0;6;67;6;7;False
2023-01-08;0;7;100;9;11;False
2023-01-09;0;4;50;6;7;False
2023-01-10;0;3;27;5;10;False
2023-01-11;0;2;27;7;12;False
2023-01-12;0;2;32;5;10;False
2023-01-13;0;4;26;4;8;False
2023-01-14;0;5;55;9;7;False
2023-01-15;0;4;81;7;9;False
2023-01-16;0;4;45;4;9;False
2023-01-17;0;4;28;5;7;False
2023-01-18;0;3;29;4;11;False
2023-01-19;0;4;26;4;10;False
2023-01-20;0;4;31;7;8;False
2023-01-21;0;6;64;8;8;False
2023-01-22;0;6;99;5;9;False
2023-01-23;0;1;38;5;10;False
2023-01-24;0;6;25;5;7;False
2023-01-25;0;3;31;5;10;False
2023-01-26;0;4;43;6;9;False
2023-01-27;0;5;33;4;6;False
2023-01-28;0;7;59;7;9;False
2023-01-29;0;5;79;8;8;False
2023-01-30;0;8;40;7;13;False
2023-01-31;0;5;25;7;11;False
