date;horses;air travel;isPartial
2023-01-01;100;4;False
2023-01-02;81;5;False
2023-01-03;64;4;False
2023-01-04;56;5;False
2023-01-05;54;4;False
2023-01-06;58;3;False
2023-01-07;73;3;False
2023-01-08;80;5;False
2023-01-09;54;3;False
2023-01-10;53;4;False
2023-01-11;55;5;False
2023-01-12;49;4;False
2023-01-13;58;3;False
2023-01-14;73;4;False
2023-01-15;72;4;False
2023-01-16;51;4;False
2023-01-17;52;4;False
2023-01-18;47;5;False
2023-01-19;49;4;False
2023-01-20;52;3;False
2023-01-21;62;3;False
2023-01-22;64;4;False
2023-01-23;52;4;False
2023-01-24;57;3;False
2023-01-25;53;4;False
2023-01-26;53;3;False
2023-01-27;54;2;False
2023-01-28;66;3;False
2023-01-29;60;4;False
2023-01-30;55;5;False
2023-01-31;50;5;False
