date;Netball;Simulation games;Henri Cartier-Bresson;Adjoa Andoh;air travel;isPartial
2023-01-01;14;0;1;0;9;False
2023-01-02;18;0;0;0;11;False
2023-01-03;21;1;1;0;7;False
2023-01-04;25;0;0;1;11;False
2023-01-05;25;1;0;0;9;False
2023-01-06;25;0;2;1;9;False
2023-01-07;27;1;1;0;6;False
2023-01-08;32;1;1;1;10;False
2023-01-09;34;0;1;1;6;False
2023-01-10;35;2;1;0;9;False
2023-01-11;82;1;1;0;11;False
2023-01-12;38;0;0;0;9;False
2023-01-13;33;1;0;0;7;False
2023-01-14;87;1;0;0;7;False
2023-01-15;100;1;0;1;8;False
2023-01-16;45;0;1;0;8;False
2023-01-17;33;1;1;1;7;False
2023-01-18;33;1;0;0;10;False
2023-01-19;31;0;0;0;9;False
2023-01-20;26;0;0;0;7;False
2023-01-21;52;2;0;0;8;False
2023-01-22;61;1;0;1;8;False
2023-01-23;36;2;0;0;9;False
2023-01-24;43;1;0;1;7;False
2023-01-25;45;0;1;0;9;False
2023-01-26;33;3;1;0;8;False
2023-01-27;27;1;2;0;6;False
2023-01-28;27;0;0;0;8;False
2023-01-29;34;1;0;0;7;False
2023-01-30;35;1;0;1;12;False
2023-01-31;38;4;0;1;10;False
