date;Barnaby Joyce;Deloitte;Recession;Nomadland;air travel;isPartial
2023-01-01;13;24;27;3;32;False
2023-01-02;0;27;50;2;38;False
2023-01-03;0;52;50;0;24;False
2023-01-04;0;63;59;3;37;False
2023-01-05;0;61;50;0;30;False
2023-01-06;0;56;48;4;31;False
2023-01-07;4;34;30;6;22;False
2023-01-08;0;31;36;4;35;False
2023-01-09;0;67;42;0;21;False
2023-01-10;0;69;55;0;33;False
2023-01-11;0;80;56;6;37;False
2023-01-12;0;91;54;0;31;False
2023-01-13;0;61;83;3;25;False
2023-01-14;0;35;31;0;23;False
2023-01-15;0;30;39;0;28;False
2023-01-16;0;70;46;4;28;False
2023-01-17;0;77;45;11;23;False
2023-01-18;0;67;43;2;33;False
2023-01-19;0;100;40;0;30;False
2023-01-20;0;80;31;14;25;False
2023-01-21;0;34;32;6;26;False
2023-01-22;0;37;31;7;29;False
2023-01-23;0;70;43;2;30;False
2023-01-24;0;72;55;16;23;False
2023-01-25;0;70;50;7;31;False
2023-01-26;0;59;44;13;28;False
2023-01-27;0;57;35;11;20;False
2023-01-28;3;32;28;12;27;False
2023-01-29;0;47;36;6;25;False
2023-01-30;0;56;42;0;42;False
2023-01-31;0;77;63;5;35;False
