date;sadiq khan;Joe Biden;Sol Campbell;Greg Dyke;air travel;isPartial
2023-01-01;9;24;2;0;23;False
2023-01-02;4;12;13;2;27;False
2023-01-03;5;15;26;0;17;False
2023-01-04;6;30;17;2;26;False
2023-01-05;4;16;4;0;22;False
2023-01-06;0;20;8;2;22;False
2023-01-07;4;22;3;2;16;False
2023-01-08;3;24;2;0;25;False
2023-01-09;4;16;2;2;15;False
2023-01-10;4;23;3;0;23;False
2023-01-11;5;59;6;0;26;False
2023-01-12;13;100;3;0;22;False
2023-01-13;7;60;4;0;18;False
2023-01-14;8;52;0;0;17;False
2023-01-15;7;61;0;0;20;False
2023-01-16;7;20;0;2;20;False
2023-01-17;7;22;3;3;16;False
2023-01-18;27;18;3;0;24;False
2023-01-19;13;19;3;0;22;False
2023-01-20;11;16;7;0;17;False
2023-01-21;6;23;2;3;19;False
2023-01-22;10;81;0;0;21;False
2023-01-23;12;40;4;0;21;False
2023-01-24;14;16;0;2;16;False
2023-01-25;11;26;4;0;22;False
2023-01-26;17;20;0;2;20;False
2023-01-27;16;18;9;0;14;False
2023-01-28;15;28;29;2;19;False
2023-01-29;10;17;19;0;18;False
2023-01-30;10;17;16;2;30;False
2023-01-31;14;19;9;0;25;False
