date;Sadler's Wells;League One;Princess Margaret;Period and historical films;air travel;isPartial
2023-01-01;3;76;30;0;17;False
2023-01-02;0;76;24;0;20;False
2023-01-03;4;42;18;0;13;False
2023-01-04;2;31;17;0;19;False
2023-01-05;5;22;20;0;16;False
2023-01-06;2;25;23;0;16;False
2023-01-07;5;74;23;0;12;False
2023-01-08;3;22;27;0;18;False
2023-01-09;2;32;20;0;11;False
2023-01-10;4;29;31;0;17;False
2023-01-11;4;20;23;0;20;False
2023-01-12;7;19;19;0;16;False
2023-01-13;0;19;15;0;13;False
2023-01-14;5;99;24;0;12;False
2023-01-15;2;39;24;0;14;False
2023-01-16;3;31;18;0;15;False
2023-01-17;4;29;11;0;12;False
2023-01-18;1;20;13;0;17;False
2023-01-19;1;23;15;0;16;False
2023-01-20;4;32;19;0;13;False
2023-01-21;4;100;18;0;14;False
2023-01-22;2;61;21;0;15;False
2023-01-23;2;35;19;0;16;False
2023-01-24;0;48;13;0;12;False
2023-01-25;3;39;11;0;16;False
2023-01-26;0;20;12;0;15;False
2023-01-27;2;25;15;0;10;False
2023-01-28;2;76;10;0;14;False
2023-01-29;1;29;15;0;13;False
2023-01-30;4;30;14;0;22;False
2023-01-31;2;24;12;0;18;False
