date;Lake District;Kent;banking;History books;air travel;isPartial
2023-01-01;18;64;54;1;2;False
2023-01-02;20;64;71;1;3;False
2023-01-03;15;63;100;1;2;False
2023-01-04;15;65;83;1;3;False
2023-01-05;16;61;86;1;2;False
2023-01-06;17;59;85;1;2;False
2023-01-07;16;54;59;1;2;False
2023-01-08;19;58;59;1;2;False
2023-01-09;13;63;91;1;1;False
2023-01-10;14;65;83;2;2;False
2023-01-11;13;61;75;1;3;False
2023-01-12;13;68;80;1;2;False
2023-01-13;12;62;83;1;2;False
2023-01-14;17;58;62;1;2;False
2023-01-15;17;62;60;1;2;False
2023-01-16;13;70;85;1;2;False
2023-01-17;12;67;78;1;2;False
2023-01-18;12;62;80;1;2;False
2023-01-19;11;65;78;1;2;False
2023-01-20;13;65;88;1;2;False
2023-01-21;17;62;65;1;2;False
2023-01-22;18;63;56;1;2;False
2023-01-23;13;68;90;1;2;False
2023-01-24;14;64;85;1;2;False
2023-01-25;12;62;84;1;2;False
2023-01-26;11;62;80;1;2;False
2023-01-27;13;63;96;1;1;False
2023-01-28;14;57;64;1;2;False
2023-01-29;18;61;61;1;2;False
2023-01-30;14;66;96;1;3;False
2023-01-31;13;66;99;1;2;False
