date;Documentary;Coldplay;Felix Dennis;Devo;air travel;isPartial
2023-01-01;79;22;0;0;7;False
2023-01-02;75;15;0;0;8;False
2023-01-03;62;13;1;1;5;False
2023-01-04;66;12;0;0;8;False
2023-01-05;64;13;0;0;7;False
2023-01-06;77;14;1;0;7;False
2023-01-07;72;16;0;1;5;False
2023-01-08;89;16;0;2;8;False
2023-01-09;63;11;0;1;5;False
2023-01-10;69;14;0;1;7;False
2023-01-11;59;11;0;0;8;False
2023-01-12;63;12;0;2;7;False
2023-01-13;67;17;0;1;5;False
2023-01-14;68;12;0;1;5;False
2023-01-15;73;13;0;3;6;False
2023-01-16;63;16;0;1;6;False
2023-01-17;65;15;0;1;5;False
2023-01-18;66;15;0;1;7;False
2023-01-19;62;13;0;2;7;False
2023-01-20;73;18;0;1;5;False
2023-01-21;84;16;1;3;6;False
2023-01-22;91;17;0;0;6;False
2023-01-23;72;16;0;2;7;False
2023-01-24;78;16;1;2;5;False
2023-01-25;77;14;0;2;7;False
2023-01-26;100;11;0;1;6;False
2023-01-27;84;19;0;2;4;False
2023-01-28;79;16;0;2;6;False
2023-01-29;95;17;1;3;6;False
2023-01-30;76;16;0;3;9;False
2023-01-31;68;18;1;1;8;False
