date;trinidad and tobago;Europe;Crime fiction;Goldman Sachs;air travel;isPartial
2023-01-01;1;91;0;2;4;False
2023-01-02;0;93;1;2;4;False
2023-01-03;1;99;0;4;3;False
2023-01-04;0;100;0;4;4;False
2023-01-05;0;94;0;4;4;False
2023-01-06;1;88;0;4;4;False
2023-01-07;1;85;0;4;3;False
2023-01-08;1;99;0;3;4;False
2023-01-09;2;96;0;9;2;False
2023-01-10;1;95;0;7;4;False
2023-01-11;1;92;0;11;4;False
2023-01-12;1;93;0;11;4;False
2023-01-13;0;89;1;5;3;False
2023-01-14;1;86;0;3;3;False
2023-01-15;1;94;0;3;3;False
2023-01-16;1;94;1;6;3;False
2023-01-17;1;91;0;9;3;False
2023-01-18;1;99;0;8;4;False
2023-01-19;1;95;0;6;4;False
2023-01-20;0;93;0;5;3;False
2023-01-21;2;82;1;3;3;False
2023-01-22;1;91;1;3;3;False
2023-01-23;2;98;0;5;3;False
2023-01-24;1;95;0;4;3;False
2023-01-25;1;90;0;4;4;False
2023-01-26;2;88;0;5;3;False
2023-01-27;1;88;0;3;2;False
2023-01-28;1;81;0;3;3;False
2023-01-29;1;87;0;3;3;False
2023-01-30;1;93;0;4;5;False
2023-01-31;1;87;0;6;4;False
