date;Internet, phones & broadband;Kae Tempest;mike pence;Cycling holidays;air travel;isPartial
2023-01-01;0;12;0;12;76;False
2023-01-02;0;0;0;0;90;False
2023-01-03;0;13;6;25;59;False
2023-01-04;0;0;6;0;89;False
2023-01-05;0;7;0;5;73;False
2023-01-06;0;7;0;6;73;False
2023-01-07;0;0;0;12;53;False
2023-01-08;0;11;0;21;84;False
2023-01-09;0;7;0;20;50;False
2023-01-10;0;0;0;20;79;False
2023-01-11;0;0;0;28;90;False
2023-01-12;0;0;7;0;75;False
2023-01-13;0;12;0;22;60;False
2023-01-14;0;7;0;22;56;False
2023-01-15;0;0;0;13;66;False
2023-01-16;0;0;0;19;68;False
2023-01-17;0;14;0;17;56;False
2023-01-18;0;11;0;0;80;False
2023-01-19;0;0;0;7;73;False
2023-01-20;0;0;0;12;59;False
2023-01-21;0;17;7;14;63;False
2023-01-22;0;0;0;8;70;False
2023-01-23;0;8;8;11;72;False
2023-01-24;0;5;54;16;55;False
2023-01-25;0;0;37;28;75;False
2023-01-26;0;7;0;0;68;False
2023-01-27;0;0;0;13;47;False
2023-01-28;0;0;15;11;66;False
2023-01-29;0;6;0;15;60;False
2023-01-30;0;0;0;19;100;False
2023-01-31;0;0;7;5;84;False
