date;Press releases;Wimbledon;demi lovato;Santa Cruz;air travel;isPartial
2023-01-01;0;61;4;9;6;False
2023-01-02;0;64;3;8;7;False
2023-01-03;1;56;3;7;5;False
2023-01-04;1;56;3;7;7;False
2023-01-05;3;53;2;9;6;False
2023-01-06;2;51;3;9;6;False
2023-01-07;0;58;4;7;4;False
2023-01-08;1;52;2;9;7;False
2023-01-09;1;48;3;5;4;False
2023-01-10;1;51;2;10;6;False
2023-01-11;1;52;100;11;7;False
2023-01-12;1;55;22;9;6;False
2023-01-13;1;59;4;11;5;False
2023-01-14;0;90;5;8;5;False
2023-01-15;2;65;4;6;5;False
2023-01-16;2;54;4;7;6;False
2023-01-17;1;51;3;7;5;False
2023-01-18;1;53;2;8;7;False
2023-01-19;0;58;2;8;6;False
2023-01-20;1;66;4;6;5;False
2023-01-21;0;67;2;6;5;False
2023-01-22;0;66;3;7;6;False
2023-01-23;1;59;3;7;6;False
2023-01-24;1;52;3;5;4;False
2023-01-25;2;56;1;6;6;False
2023-01-26;0;48;3;7;6;False
2023-01-27;1;57;3;5;4;False
2023-01-28;0;78;3;9;5;False
2023-01-29;0;64;5;7;5;False
2023-01-30;1;66;2;6;8;False
2023-01-31;3;73;2;6;7;False
