date;Piracy;Penguin Random House;Turner prize;Denmark;air travel;isPartial
2023-01-01;6;0;3;80;19;False
2023-01-02;0;0;2;78;22;False
2023-01-03;5;1;0;91;14;False
2023-01-04;2;3;0;71;22;False
2023-01-05;7;2;2;96;18;False
2023-01-06;5;2;0;71;18;False
2023-01-07;6;2;3;72;13;False
2023-01-08;6;4;5;68;21;False
2023-01-09;6;3;0;85;12;False
2023-01-10;7;4;1;79;19;False
2023-01-11;4;2;3;84;22;False
2023-01-12;6;0;0;83;18;False
2023-01-13;3;2;3;74;15;False
2023-01-14;7;2;6;76;14;False
2023-01-15;1;4;0;91;16;False
2023-01-16;8;4;4;89;17;False
2023-01-17;4;2;2;88;14;False
2023-01-18;4;4;2;83;20;False
2023-01-19;3;4;2;80;18;False
2023-01-20;5;0;3;89;15;False
2023-01-21;4;0;5;79;16;False
2023-01-22;3;0;0;70;17;False
2023-01-23;7;3;4;83;18;False
2023-01-24;2;1;0;89;14;False
2023-01-25;1;3;0;83;19;False
2023-01-26;3;4;2;100;17;False
2023-01-27;6;0;2;77;12;False
2023-01-28;0;2;2;62;16;False
2023-01-29;5;0;3;79;15;False
2023-01-30;2;0;2;84;25;False
2023-01-31;6;3;0;86;21;False
