date;Besiktas;Norwich City;SpaceX;William Hogarth;air travel;isPartial
2023-01-01;1;32;5;0;8;False
2023-01-02;2;83;3;1;9;False
2023-01-03;1;32;4;0;6;False
2023-01-04;2;35;3;0;9;False
2023-01-05;1;26;3;0;7;False
2023-01-06;1;33;3;0;7;False
2023-01-07;8;31;3;0;5;False
2023-01-08;6;94;3;1;8;False
2023-01-09;3;20;7;0;5;False
2023-01-10;2;20;7;0;8;False
2023-01-11;3;16;2;0;9;False
2023-01-12;1;18;4;0;7;False
2023-01-13;2;18;5;0;6;False
2023-01-14;4;65;4;0;6;False
2023-01-15;2;19;7;1;7;False
2023-01-16;2;19;6;0;7;False
2023-01-17;2;19;3;0;6;False
2023-01-18;5;18;4;0;8;False
2023-01-19;2;19;4;1;7;False
2023-01-20;14;19;5;0;6;False
2023-01-21;2;100;3;0;6;False
2023-01-22;5;24;2;0;7;False
2023-01-23;2;19;2;0;7;False
2023-01-24;1;17;6;0;6;False
2023-01-25;2;22;4;0;8;False
2023-01-26;2;20;2;0;7;False
2023-01-27;12;21;3;0;5;False
2023-01-28;8;26;3;0;7;False
2023-01-29;3;16;4;1;6;False
2023-01-30;1;21;7;1;10;False
2023-01-31;9;28;5;0;8;False
