date;Gene editing;Los Angeles Lakers;Media unions;International Monetary Fund (IMF);air travel;isPartial
2023-01-01;0;7;0;6;76;False
2023-01-02;16;11;0;0;90;False
2023-01-03;0;17;0;14;59;False
2023-01-04;10;6;0;0;89;False
2023-01-05;22;0;0;6;73;False
2023-01-06;0;12;0;0;73;False
2023-01-07;9;0;0;0;53;False
2023-01-08;0;16;0;0;84;False
2023-01-09;0;5;0;16;50;False
2023-01-10;8;11;0;0;79;False
2023-01-11;20;4;0;0;90;False
2023-01-12;12;0;0;0;75;False
2023-01-13;0;0;0;0;60;False
2023-01-14;0;23;0;10;56;False
2023-01-15;0;6;0;0;66;False
2023-01-16;0;18;0;0;68;False
2023-01-17;10;8;0;0;56;False
2023-01-18;0;0;0;16;80;False
2023-01-19;7;5;0;0;73;False
2023-01-20;0;0;0;0;59;False
2023-01-21;0;18;0;0;63;False
2023-01-22;0;14;0;15;70;False
2023-01-23;19;0;0;0;72;False
2023-01-24;0;0;0;0;55;False
2023-01-25;0;13;0;9;75;False
2023-01-26;0;4;0;0;68;False
2023-01-27;0;0;0;0;47;False
2023-01-28;0;0;0;0;66;False
2023-01-29;6;7;0;0;60;False
2023-01-30;5;0;0;6;100;False
2023-01-31;11;22;0;0;84;False
