date;game of thrones;Bosnia and Herzegovina;Africa Cup of Nations;Brian Friel;air travel;isPartial
2023-01-01;100;0;0;0;12;False
2023-01-02;84;2;0;2;14;False
2023-01-03;77;1;0;2;9;False
2023-01-04;70;2;0;0;14;False
2023-01-05;57;2;0;1;11;False
2023-01-06;75;2;0;1;11;False
2023-01-07;85;4;0;0;8;False
2023-01-08;85;2;1;1;13;False
2023-01-09;63;4;2;0;8;False
2023-01-10;65;1;0;0;12;False
2023-01-11;56;1;0;2;14;False
2023-01-12;63;1;0;0;12;False
2023-01-13;61;2;3;0;9;False
2023-01-14;76;1;1;0;9;False
2023-01-15;77;1;4;0;10;False
2023-01-16;63;0;1;0;11;False
2023-01-17;67;1;0;0;9;False
2023-01-18;71;1;0;0;13;False
2023-01-19;66;2;1;0;11;False
2023-01-20;70;1;0;0;9;False
2023-01-21;76;0;0;1;10;False
2023-01-22;80;2;0;1;11;False
2023-01-23;67;2;0;0;11;False
2023-01-24;64;2;0;1;9;False
2023-01-25;63;0;0;0;12;False
2023-01-26;63;0;0;0;11;False
2023-01-27;64;3;1;0;7;False
2023-01-28;77;0;0;0;10;False
2023-01-29;85;0;0;0;9;False
2023-01-30;62;2;0;1;16;False
2023-01-31;65;0;0;0;13;False
