date;Starbucks;Martin Scorsese;Young people;Pie;air travel;isPartial
2023-01-01;72;1;2;98;3;False
2023-01-02;50;1;6;87;4;False
2023-01-03;31;1;5;77;3;False
2023-01-04;31;2;9;76;4;False
2023-01-05;31;1;5;73;3;False
2023-01-06;32;1;5;70;3;False
2023-01-07;36;1;3;91;2;False
2023-01-08;40;1;4;100;4;False
2023-01-09;29;1;7;76;2;False
2023-01-10;31;0;6;73;3;False
2023-01-11;32;1;7;72;4;False
2023-01-12;30;0;7;75;3;False
2023-01-13;29;1;5;66;3;False
2023-01-14;37;1;3;80;2;False
2023-01-15;42;1;5;92;3;False
2023-01-16;29;1;7;77;3;False
2023-01-17;27;1;7;72;2;False
2023-01-18;29;0;6;74;4;False
2023-01-19;26;0;6;74;3;False
2023-01-20;30;1;7;73;3;False
2023-01-21;41;0;3;86;3;False
2023-01-22;42;1;5;98;3;False
2023-01-23;30;1;7;71;3;False
2023-01-24;32;1;7;76;2;False
2023-01-25;31;1;8;73;3;False
2023-01-26;29;1;6;70;3;False
2023-01-27;30;1;6;74;2;False
2023-01-28;39;1;4;87;3;False
2023-01-29;45;2;6;92;3;False
2023-01-30;31;1;8;77;4;False
2023-01-31;31;0;8;78;4;False
