date;defence;Gender;Antony and Cleopatra;virtual reality;air travel;isPartial
2023-01-01;28;38;9;3;6;False
2023-01-02;32;48;2;3;8;False
2023-01-03;42;54;0;4;5;False
2023-01-04;40;54;0;3;7;False
2023-01-05;42;55;1;2;6;False
2023-01-06;37;57;0;4;6;False
2023-01-07;27;44;1;3;4;False
2023-01-08;34;49;1;3;7;False
2023-01-09;49;53;0;4;4;False
2023-01-10;49;58;0;3;7;False
2023-01-11;44;54;0;2;7;False
2023-01-12;48;59;0;4;6;False
2023-01-13;43;53;1;4;5;False
2023-01-14;37;46;0;2;5;False
2023-01-15;42;53;0;3;5;False
2023-01-16;54;86;0;2;6;False
2023-01-17;53;100;1;2;5;False
2023-01-18;49;68;0;4;7;False
2023-01-19;73;60;0;4;6;False
2023-01-20;48;55;1;2;5;False
2023-01-21;36;45;0;2;5;False
2023-01-22;38;51;0;4;6;False
2023-01-23;50;54;2;3;6;False
2023-01-24;53;61;0;3;5;False
2023-01-25;52;59;0;3;6;False
2023-01-26;43;61;1;4;6;False
2023-01-27;40;54;1;2;4;False
2023-01-28;28;46;0;3;5;False
2023-01-29;37;47;0;4;5;False
2023-01-30;57;60;0;3;8;False
2023-01-31;50;62;0;4;7;False
