date;Florence + the Machine;cctv;Foreign currency;premier league 2022/23;air travel;isPartial
2023-01-01;68;13;1;8;5;False
2023-01-02;74;17;2;9;6;False
2023-01-03;73;18;3;9;4;False
2023-01-04;64;19;3;7;6;False
2023-01-05;67;21;3;6;5;False
2023-01-06;65;21;2;4;5;False
2023-01-07;65;15;2;3;4;False
2023-01-08;75;17;3;3;6;False
2023-01-09;64;20;3;2;3;False
2023-01-10;64;23;3;2;5;False
2023-01-11;62;26;3;3;6;False
2023-01-12;75;19;3;3;5;False
2023-01-13;85;19;2;4;4;False
2023-01-14;87;17;3;14;4;False
2023-01-15;80;17;2;10;5;False
2023-01-16;60;21;3;3;5;False
2023-01-17;66;23;2;3;4;False
2023-01-18;64;20;2;4;6;False
2023-01-19;60;18;2;6;5;False
2023-01-20;65;19;3;4;4;False
2023-01-21;72;19;2;9;4;False
2023-01-22;77;16;3;14;5;False
2023-01-23;65;23;3;7;5;False
2023-01-24;66;21;4;3;4;False
2023-01-25;62;22;2;4;5;False
2023-01-26;61;22;4;2;5;False
2023-01-27;64;22;3;3;3;False
2023-01-28;87;19;1;3;5;False
2023-01-29;100;19;1;4;4;False
2023-01-30;77;23;3;2;7;False
2023-01-31;75;21;3;1;6;False
