date;greece;bank of england;Alexander Skarsgård;Edward Norton;air travel;isPartial
2023-01-01;71;7;1;7;5;False
2023-01-02;78;11;1;5;6;False
2023-01-03;79;15;0;4;4;False
2023-01-04;69;17;1;6;6;False
2023-01-05;65;16;0;15;5;False
2023-01-06;66;14;0;11;5;False
2023-01-07;77;8;1;8;3;False
2023-01-08;100;8;1;4;5;False
2023-01-09;74;15;0;2;3;False
2023-01-10;78;14;0;2;5;False
2023-01-11;75;15;0;2;6;False
2023-01-12;66;17;1;2;5;False
2023-01-13;62;14;1;3;4;False
2023-01-14;73;9;1;3;4;False
2023-01-15;100;8;1;3;4;False
2023-01-16;79;13;2;2;4;False
2023-01-17;73;18;0;1;4;False
2023-01-18;66;18;0;2;5;False
2023-01-19;62;15;1;1;5;False
2023-01-20;63;15;1;2;4;False
2023-01-21;66;9;1;3;4;False
2023-01-22;87;8;1;3;4;False
2023-01-23;70;13;0;1;5;False
2023-01-24;66;17;1;2;3;False
2023-01-25;63;15;0;2;5;False
2023-01-26;56;13;1;3;4;False
2023-01-27;58;14;1;2;3;False
2023-01-28;63;10;1;2;4;False
2023-01-29;81;10;1;1;4;False
2023-01-30;67;23;0;1;6;False
2023-01-31;61;23;1;1;5;False
