date;Financial sector;alcohol;Nish Kumar;Deliveroo;air travel;isPartial
2023-01-01;0;100;0;44;3;False
2023-01-02;0;73;0;33;3;False
2023-01-03;0;67;1;28;2;False
2023-01-04;0;73;1;26;3;False
2023-01-05;0;68;1;27;3;False
2023-01-06;0;75;1;32;3;False
2023-01-07;0;72;0;37;2;False
2023-01-08;0;73;1;32;3;False
2023-01-09;0;58;0;24;2;False
2023-01-10;0;61;0;26;3;False
2023-01-11;0;61;0;24;3;False
2023-01-12;0;65;0;28;3;False
2023-01-13;0;71;0;36;2;False
2023-01-14;0;70;0;39;2;False
2023-01-15;0;67;1;32;2;False
2023-01-16;0;61;0;27;3;False
2023-01-17;0;63;0;26;2;False
2023-01-18;0;61;1;25;3;False
2023-01-19;0;64;0;27;3;False
2023-01-20;1;70;0;38;2;False
2023-01-21;0;75;0;43;2;False
2023-01-22;0;65;0;36;3;False
2023-01-23;0;59;0;27;3;False
2023-01-24;1;57;0;29;2;False
2023-01-25;0;58;0;26;3;False
2023-01-26;1;60;1;27;3;False
2023-01-27;1;70;0;40;2;False
2023-01-28;1;67;0;39;2;False
2023-01-29;0;67;0;34;2;False
2023-01-30;0;60;0;25;4;False
2023-01-31;1;59;0;30;3;False
