date;Witness K case;Emilia Fox;wrexham fc;Sydney;air travel;isPartial
2023-01-01;0;2;6;30;2;False
2023-01-02;0;6;12;25;3;False
2023-01-03;0;4;5;24;2;False
2023-01-04;0;2;4;25;3;False
2023-01-05;0;2;4;24;2;False
2023-01-06;0;1;4;33;2;False
2023-01-07;0;2;34;22;2;False
2023-01-08;0;2;18;23;2;False
2023-01-09;0;7;7;23;1;False
2023-01-10;0;4;14;20;2;False
2023-01-11;0;2;7;22;3;False
2023-01-12;0;4;5;22;2;False
2023-01-13;0;2;11;20;2;False
2023-01-14;0;2;9;19;2;False
2023-01-15;0;2;5;23;2;False
2023-01-16;0;2;4;22;2;False
2023-01-17;0;3;4;22;2;False
2023-01-18;0;3;4;20;2;False
2023-01-19;0;2;3;23;2;False
2023-01-20;0;3;4;21;2;False
2023-01-21;0;1;16;23;2;False
2023-01-22;0;1;6;21;2;False
2023-01-23;0;2;5;22;2;False
2023-01-24;0;2;13;21;2;False
2023-01-25;0;2;8;18;2;False
2023-01-26;0;2;4;18;2;False
2023-01-27;0;2;7;19;1;False
2023-01-28;0;1;11;20;2;False
2023-01-29;0;2;100;21;2;False
2023-01-30;0;2;27;20;3;False
2023-01-31;0;7;13;18;2;False
