date;parking;The Muppets;Uyghurs;Email;air travel;isPartial
2023-01-01;37;0;0;39;1;False
2023-01-02;49;0;0;58;1;False
2023-01-03;47;0;0;83;1;False
2023-01-04;46;0;0;89;1;False
2023-01-05;41;0;0;84;1;False
2023-01-06;44;0;0;84;1;False
2023-01-07;44;0;0;48;1;False
2023-01-08;43;0;0;51;1;False
2023-01-09;41;0;0;81;1;False
2023-01-10;42;0;0;89;1;False
2023-01-11;41;0;0;88;1;False
2023-01-12;45;0;0;88;1;False
2023-01-13;40;0;0;79;1;False
2023-01-14;45;1;0;51;1;False
2023-01-15;42;0;0;51;1;False
2023-01-16;48;0;0;100;1;False
2023-01-17;43;0;0;93;1;False
2023-01-18;38;0;0;90;1;False
2023-01-19;39;0;0;90;1;False
2023-01-20;42;0;0;89;1;False
2023-01-21;49;0;0;55;1;False
2023-01-22;40;0;0;55;1;False
2023-01-23;44;0;0;93;1;False
2023-01-24;41;0;0;90;1;False
2023-01-25;39;0;0;88;1;False
2023-01-26;39;0;0;88;1;False
2023-01-27;41;0;0;82;1;False
2023-01-28;46;0;0;47;1;False
2023-01-29;45;0;0;53;1;False
2023-01-30;46;0;0;94;1;False
2023-01-31;41;0;0;92;1;False
