date;Tennessee Williams;Nobel peace prize;brad pitt;Marcelo Bielsa;air travel;isPartial
2023-01-01;4;0;60;0;23;False
2023-01-02;0;4;47;5;27;False
2023-01-03;2;2;31;0;17;False
2023-01-04;4;2;33;3;26;False
2023-01-05;2;0;48;3;22;False
2023-01-06;0;3;45;0;22;False
2023-01-07;0;0;52;0;16;False
2023-01-08;2;4;47;3;25;False
2023-01-09;0;0;46;0;15;False
2023-01-10;1;3;37;0;23;False
2023-01-11;7;5;59;0;27;False
2023-01-12;2;0;83;0;22;False
2023-01-13;0;0;71;4;18;False
2023-01-14;4;0;100;0;17;False
2023-01-15;0;2;74;0;20;False
2023-01-16;3;0;46;6;20;False
2023-01-17;4;0;47;3;17;False
2023-01-18;4;2;49;4;24;False
2023-01-19;0;0;49;0;22;False
2023-01-20;0;4;57;3;18;False
2023-01-21;0;2;67;0;19;False
2023-01-22;5;0;56;3;21;False
2023-01-23;5;0;40;34;21;False
2023-01-24;2;4;46;33;16;False
2023-01-25;0;2;51;13;22;False
2023-01-26;3;2;49;27;20;False
2023-01-27;2;2;50;21;14;False
2023-01-28;2;1;69;7;20;False
2023-01-29;5;0;51;0;18;False
2023-01-30;0;5;40;4;30;False
2023-01-31;0;4;47;3;25;False
