date;The Fabelmans;turkey;University of Sheffield;Alan Sugar;air travel;isPartial
2023-01-01;4;100;1;1;3;False
2023-01-02;2;88;2;1;4;False
2023-01-03;1;80;2;2;2;False
2023-01-04;1;74;2;1;3;False
2023-01-05;1;73;2;10;3;False
2023-01-06;1;74;2;5;3;False
2023-01-07;2;78;2;3;2;False
2023-01-08;2;93;1;3;3;False
2023-01-09;3;73;4;2;2;False
2023-01-10;3;71;2;1;3;False
2023-01-11;17;67;3;1;3;False
2023-01-12;6;76;2;7;3;False
2023-01-13;4;68;2;3;2;False
2023-01-14;5;75;1;3;2;False
2023-01-15;5;83;2;2;3;False
2023-01-16;4;68;4;1;3;False
2023-01-17;3;71;3;1;2;False
2023-01-18;4;67;3;1;3;False
2023-01-19;7;67;3;5;3;False
2023-01-20;7;66;3;4;2;False
2023-01-21;8;79;2;3;2;False
2023-01-22;8;82;2;2;3;False
2023-01-23;6;72;3;1;3;False
2023-01-24;12;71;2;1;2;False
2023-01-25;10;68;3;1;3;False
2023-01-26;11;59;2;6;3;False
2023-01-27;15;62;2;3;2;False
2023-01-28;19;67;1;3;3;False
2023-01-29;15;84;1;2;2;False
2023-01-30;9;69;2;1;4;False
2023-01-31;8;64;2;1;3;False
