date;grenfell tower;Roderick Williams;Geoffrey Cox;Italy holidays;air travel;isPartial
2023-01-01;8;0;2;55;27;False
2023-01-02;7;0;0;72;32;False
2023-01-03;0;0;0;64;20;False
2023-01-04;0;2;0;48;31;False
2023-01-05;7;0;0;45;25;False
2023-01-06;6;0;0;53;26;False
2023-01-07;2;0;4;54;19;False
2023-01-08;16;0;4;68;30;False
2023-01-09;5;0;3;58;17;False
2023-01-10;9;0;0;46;28;False
2023-01-11;4;3;2;28;31;False
2023-01-12;15;0;0;45;26;False
2023-01-13;100;6;0;44;21;False
2023-01-14;31;0;0;55;20;False
2023-01-15;9;0;0;68;23;False
2023-01-16;11;0;0;46;24;False
2023-01-17;12;2;0;40;19;False
2023-01-18;7;3;0;41;28;False
2023-01-19;6;0;3;30;25;False
2023-01-20;6;0;0;20;21;False
2023-01-21;8;0;2;43;22;False
2023-01-22;7;0;2;43;24;False
2023-01-23;6;0;0;45;25;False
2023-01-24;9;0;0;33;19;False
2023-01-25;8;0;0;33;26;False
2023-01-26;9;0;0;31;24;False
2023-01-27;4;3;2;38;16;False
2023-01-28;6;0;3;36;23;False
2023-01-29;38;0;5;48;21;False
2023-01-30;10;0;0;32;35;False
2023-01-31;9;0;9;37;29;False
