date;Marseille;Renting;BFI;Great Barrier Reef;air travel;isPartial
2023-01-01;46;62;54;11;30;False
2023-01-02;100;53;46;5;35;False
2023-01-03;53;79;55;5;23;False
2023-01-04;42;79;48;6;35;False
2023-01-05;40;81;43;0;29;False
2023-01-06;43;71;57;6;29;False
2023-01-07;49;69;45;0;21;False
2023-01-08;53;71;58;4;33;False
2023-01-09;47;67;59;6;20;False
2023-01-10;50;64;54;5;31;False
2023-01-11;69;72;42;8;35;False
2023-01-12;52;58;54;5;29;False
2023-01-13;48;79;46;7;23;False
2023-01-14;82;49;61;5;22;False
2023-01-15;64;58;40;10;26;False
2023-01-16;48;78;49;9;27;False
2023-01-17;50;74;51;2;22;False
2023-01-18;46;64;46;8;31;False
2023-01-19;47;70;35;8;29;False
2023-01-20;86;66;42;3;23;False
2023-01-21;72;63;51;0;25;False
2023-01-22;65;64;37;10;27;False
2023-01-23;50;86;46;16;28;False
2023-01-24;40;70;46;9;22;False
2023-01-25;52;72;37;7;29;False
2023-01-26;43;64;53;7;27;False
2023-01-27;47;69;44;8;18;False
2023-01-28;94;56;46;9;26;False
2023-01-29;75;68;42;6;24;False
2023-01-30;47;82;51;3;39;False
2023-01-31;56;87;48;5;33;False
