date;Alternative Business Structures;The news on TV;Teacher training;fuel crisis;air travel;isPartial
2023-01-01;0;0;31;0;76;False
2023-01-02;0;0;79;0;90;False
2023-01-03;0;0;52;5;59;False
2023-01-04;0;0;57;0;89;False
2023-01-05;0;0;67;0;73;False
2023-01-06;11;0;64;0;73;False
2023-01-07;0;0;20;0;53;False
2023-01-08;8;0;49;0;84;False
2023-01-09;0;0;80;0;50;False
2023-01-10;0;0;69;7;79;False
2023-01-11;0;0;66;0;90;False
2023-01-12;0;0;72;0;75;False
2023-01-13;0;0;46;0;60;False
2023-01-14;0;0;36;0;56;False
2023-01-15;0;0;65;0;66;False
2023-01-16;0;0;75;7;68;False
2023-01-17;0;0;57;0;56;False
2023-01-18;0;0;57;10;80;False
2023-01-19;0;0;57;16;73;False
2023-01-20;0;0;52;0;59;False
2023-01-21;9;0;42;0;63;False
2023-01-22;0;0;53;0;70;False
2023-01-23;0;0;56;0;72;False
2023-01-24;0;0;67;0;55;False
2023-01-25;0;0;64;8;75;False
2023-01-26;7;0;45;0;68;False
2023-01-27;0;0;25;6;47;False
2023-01-28;6;0;42;6;66;False
2023-01-29;0;0;57;0;60;False
2023-01-30;0;0;94;0;100;False
2023-01-31;0;0;45;0;84;False
