date;dyslexia;Charitable giving;sarah michelle gellar;sam smith;air travel;isPartial
2023-01-01;4;0;1;16;4;False
2023-01-02;6;0;1;8;5;False
2023-01-03;8;0;1;8;3;False
2023-01-04;10;1;1;6;5;False
2023-01-05;10;0;1;7;4;False
2023-01-06;9;0;1;6;4;False
2023-01-07;6;0;1;9;3;False
2023-01-08;8;1;1;6;4;False
2023-01-09;11;0;1;6;3;False
2023-01-10;12;0;0;8;4;False
2023-01-11;12;0;0;6;5;False
2023-01-12;12;0;0;7;4;False
2023-01-13;11;0;2;8;3;False
2023-01-14;7;1;2;11;3;False
2023-01-15;7;0;1;9;3;False
2023-01-16;11;0;1;8;4;False
2023-01-17;12;1;1;7;3;False
2023-01-18;13;0;1;6;4;False
2023-01-19;11;0;4;6;4;False
2023-01-20;11;0;3;9;3;False
2023-01-21;10;0;3;13;3;False
2023-01-22;9;0;2;12;4;False
2023-01-23;12;1;3;11;4;False
2023-01-24;14;0;1;10;3;False
2023-01-25;12;0;1;9;4;False
2023-01-26;12;0;3;10;4;False
2023-01-27;11;0;27;50;2;False
2023-01-28;7;1;16;42;3;False
2023-01-29;7;0;8;49;3;False
2023-01-30;12;1;11;100;5;False
2023-01-31;13;0;4;86;4;False
