date;cryptocurrencies;Athletic Bilbao;MI6;Alec Baldwin;air travel;isPartial
2023-01-01;0;0;10;2;4;False
2023-01-02;0;0;10;2;5;False
2023-01-03;0;0;6;1;3;False
2023-01-04;0;0;6;2;5;False
2023-01-05;0;2;5;2;4;False
2023-01-06;0;0;5;1;4;False
2023-01-07;0;0;3;1;3;False
2023-01-08;1;2;5;3;5;False
2023-01-09;1;6;4;1;3;False
2023-01-10;0;1;4;1;5;False
2023-01-11;0;1;3;1;5;False
2023-01-12;0;1;4;1;4;False
2023-01-13;0;1;2;1;3;False
2023-01-14;0;3;4;3;3;False
2023-01-15;0;1;4;2;4;False
2023-01-16;1;0;3;1;4;False
2023-01-17;0;1;3;1;3;False
2023-01-18;0;2;2;1;5;False
2023-01-19;0;0;2;100;4;False
2023-01-20;0;0;3;58;3;False
2023-01-21;1;1;4;24;4;False
2023-01-22;0;6;5;15;4;False
2023-01-23;0;1;3;9;4;False
2023-01-24;0;1;5;7;3;False
2023-01-25;0;2;3;5;4;False
2023-01-26;0;6;3;6;4;False
2023-01-27;0;1;2;5;3;False
2023-01-28;0;1;4;9;4;False
2023-01-29;0;3;5;7;4;False
2023-01-30;1;0;3;4;6;False
2023-01-31;0;0;2;11;5;False
