date;College football;Tata;Psychedelia;Breonna Taylor;air travel;isPartial
2023-01-01;100;27;0;0;29;False
2023-01-02;39;39;0;5;35;False
2023-01-03;22;33;0;0;23;False
2023-01-04;22;33;0;0;34;False
2023-01-05;17;40;0;0;28;False
2023-01-06;16;45;0;0;28;False
2023-01-07;14;27;0;0;21;False
2023-01-08;29;33;0;0;32;False
2023-01-09;28;47;0;0;19;False
2023-01-10;83;48;0;0;30;False
2023-01-11;26;50;0;2;34;False
2023-01-12;18;49;0;3;29;False
2023-01-13;16;44;0;0;23;False
2023-01-14;12;40;0;0;22;False
2023-01-15;21;46;0;2;25;False
2023-01-16;17;55;0;0;26;False
2023-01-17;19;53;0;3;21;False
2023-01-18;11;62;5;0;31;False
2023-01-19;18;58;0;0;28;False
2023-01-20;20;63;0;2;23;False
2023-01-21;15;60;0;0;24;False
2023-01-22;9;51;0;0;27;False
2023-01-23;7;65;0;0;28;False
2023-01-24;9;56;3;0;21;False
2023-01-25;16;67;0;0;29;False
2023-01-26;11;51;0;0;26;False
2023-01-27;13;69;0;0;18;False
2023-01-28;16;62;0;0;25;False
2023-01-29;19;71;0;9;23;False
2023-01-30;9;59;0;0;38;False
2023-01-31;18;40;0;0;32;False
