date;Helicopter crashes;Flu;elon musk;Activision Blizzard;air travel;isPartial
2023-01-01;0;85;37;0;4;False
2023-01-02;0;100;28;1;5;False
2023-01-03;0;99;23;0;3;False
2023-01-04;0;93;18;0;5;False
2023-01-05;0;83;17;1;4;False
2023-01-06;0;74;21;0;4;False
2023-01-07;0;53;14;0;3;False
2023-01-08;0;57;23;0;4;False
2023-01-09;0;57;26;0;3;False
2023-01-10;0;52;26;1;4;False
2023-01-11;0;46;25;0;5;False
2023-01-12;0;44;23;0;4;False
2023-01-13;0;37;16;1;3;False
2023-01-14;0;34;12;0;3;False
2023-01-15;0;33;14;0;4;False
2023-01-16;0;35;13;1;4;False
2023-01-17;0;34;13;1;3;False
2023-01-18;0;31;15;0;4;False
2023-01-19;0;32;16;1;4;False
2023-01-20;0;34;16;1;3;False
2023-01-21;0;28;14;0;3;False
2023-01-22;0;29;17;0;4;False
2023-01-23;0;33;12;0;4;False
2023-01-24;0;34;13;1;3;False
2023-01-25;0;30;13;0;4;False
2023-01-26;0;31;13;0;4;False
2023-01-27;0;28;13;0;2;False
2023-01-28;0;28;17;1;3;False
2023-01-29;0;30;16;0;3;False
2023-01-30;0;33;16;0;5;False
2023-01-31;1;32;15;0;4;False
