date;Consciousness;George Santos;Ireland;Fentanyl;air travel;isPartial
2023-01-01;1;1;79;2;2;False
2023-01-02;2;3;86;3;3;False
2023-01-03;1;3;94;2;2;False
2023-01-04;1;3;92;2;3;False
2023-01-05;1;3;85;2;2;False
2023-01-06;1;2;86;2;2;False
2023-01-07;2;2;88;2;2;False
2023-01-08;2;2;84;3;3;False
2023-01-09;2;1;89;2;2;False
2023-01-10;2;1;95;2;2;False
2023-01-11;1;2;86;2;3;False
2023-01-12;2;4;89;2;2;False
2023-01-13;1;3;80;1;2;False
2023-01-14;1;2;75;2;2;False
2023-01-15;1;3;82;1;2;False
2023-01-16;1;1;91;2;2;False
2023-01-17;1;2;92;1;2;False
2023-01-18;2;3;92;1;2;False
2023-01-19;2;5;87;1;2;False
2023-01-20;1;5;87;2;2;False
2023-01-21;1;4;85;2;2;False
2023-01-22;1;5;86;3;2;False
2023-01-23;1;3;100;2;2;False
2023-01-24;2;5;92;2;2;False
2023-01-25;1;4;89;2;2;False
2023-01-26;1;2;84;2;2;False
2023-01-27;1;3;79;2;1;False
2023-01-28;1;3;76;2;2;False
2023-01-29;2;2;79;2;2;False
2023-01-30;1;1;95;2;3;False
2023-01-31;1;3;91;2;3;False
