date;cheshire;Top Gun: Maverick;sharks;Women's football;air travel;isPartial
2023-01-01;99;40;25;5;7;False
2023-01-02;100;26;18;3;8;False
2023-01-03;88;13;15;5;5;False
2023-01-04;83;10;15;6;8;False
2023-01-05;75;9;17;4;6;False
2023-01-06;84;15;20;4;6;False
2023-01-07;80;20;24;2;5;False
2023-01-08;79;12;27;7;7;False
2023-01-09;78;6;16;5;4;False
2023-01-10;79;7;16;4;7;False
2023-01-11;79;6;16;4;8;False
2023-01-12;83;6;16;5;7;False
2023-01-13;78;8;17;3;5;False
2023-01-14;71;14;33;6;5;False
2023-01-15;78;11;18;9;6;False
2023-01-16;82;4;15;6;6;False
2023-01-17;76;5;14;3;5;False
2023-01-18;79;6;14;2;7;False
2023-01-19;77;4;15;4;6;False
2023-01-20;79;8;21;4;5;False
2023-01-21;81;15;47;5;6;False
2023-01-22;80;11;24;8;6;False
2023-01-23;83;7;17;7;6;False
2023-01-24;76;11;15;3;5;False
2023-01-25;81;7;15;4;7;False
2023-01-26;77;6;20;4;6;False
2023-01-27;82;9;26;3;4;False
2023-01-28;71;11;27;6;6;False
2023-01-29;80;9;23;10;5;False
2023-01-30;79;6;18;4;9;False
2023-01-31;81;5;16;6;7;False
