date;Green Bay Packers;Kenneth Clarke;rugby union;Edward Albee;air travel;isPartial
2023-01-01;32;0;47;0;24;False
2023-01-02;30;0;37;0;29;False
2023-01-03;12;0;31;0;19;False
2023-01-04;6;0;28;0;28;False
2023-01-05;11;0;22;0;23;False
2023-01-06;7;0;47;0;23;False
2023-01-07;4;0;79;0;17;False
2023-01-08;26;2;54;0;27;False
2023-01-09;45;0;28;0;16;False
2023-01-10;8;0;33;0;25;False
2023-01-11;4;0;39;0;29;False
2023-01-12;5;2;31;2;24;False
2023-01-13;7;0;52;0;19;False
2023-01-14;5;0;93;0;18;False
2023-01-15;3;0;49;0;21;False
2023-01-16;7;0;45;2;22;False
2023-01-17;6;3;45;0;18;False
2023-01-18;7;0;26;2;26;False
2023-01-19;3;0;40;0;23;False
2023-01-20;5;2;63;0;19;False
2023-01-21;8;3;100;0;20;False
2023-01-22;8;0;75;3;22;False
2023-01-23;6;0;26;0;23;False
2023-01-24;3;4;35;3;18;False
2023-01-25;3;0;28;0;24;False
2023-01-26;4;0;46;0;22;False
2023-01-27;2;0;52;0;15;False
2023-01-28;5;0;87;3;21;False
2023-01-29;6;3;63;0;19;False
2023-01-30;3;0;41;0;32;False
2023-01-31;5;0;35;0;27;False
