date;Coal seam gas;Accountancy;London Metropolitan University;Australian theatre;air travel;isPartial
2023-01-01;0;28;4;12;64;False
2023-01-02;0;14;42;0;76;False
2023-01-03;0;67;0;0;49;False
2023-01-04;0;70;6;0;74;False
2023-01-05;0;68;15;0;61;False
2023-01-06;0;54;18;0;61;False
2023-01-07;0;29;9;0;45;False
2023-01-08;0;32;16;0;71;False
2023-01-09;0;98;25;5;42;False
2023-01-10;0;81;17;5;66;False
2023-01-11;0;60;19;0;75;False
2023-01-12;0;77;31;0;62;False
2023-01-13;0;74;11;0;50;False
2023-01-14;0;27;15;6;47;False
2023-01-15;0;23;9;0;55;False
2023-01-16;0;89;33;0;57;False
2023-01-17;0;75;34;0;47;False
2023-01-18;0;98;23;0;67;False
2023-01-19;0;82;17;4;61;False
2023-01-20;0;76;15;0;49;False
2023-01-21;0;49;20;8;53;False
2023-01-22;0;43;9;9;59;False
2023-01-23;0;100;40;0;60;False
2023-01-24;0;90;28;6;46;False
2023-01-25;0;88;20;0;63;False
2023-01-26;0;93;18;0;57;False
2023-01-27;0;75;31;0;39;False
2023-01-28;0;36;0;0;55;False
2023-01-29;0;26;14;19;50;False
2023-01-30;0;98;14;0;84;False
2023-01-31;0;84;29;0;70;False
