date;Fay Weldon;Jacob Rees-Mogg;meteor;suella braverman;air travel;isPartial
2023-01-01;0;0;17;3;11;False
2023-01-02;0;0;19;1;13;False
2023-01-03;1;0;64;2;9;False
2023-01-04;100;1;37;3;13;False
2023-01-05;37;1;12;3;11;False
2023-01-06;7;0;14;3;11;False
2023-01-07;0;0;13;8;8;False
2023-01-08;0;2;11;4;12;False
2023-01-09;0;0;38;1;7;False
2023-01-10;1;0;83;5;12;False
2023-01-11;0;0;39;0;13;False
2023-01-12;1;0;15;4;11;False
2023-01-13;2;0;12;2;9;False
2023-01-14;0;0;14;21;8;False
2023-01-15;1;0;13;37;10;False
2023-01-16;0;0;12;21;10;False
2023-01-17;0;0;14;13;8;False
2023-01-18;2;0;12;8;12;False
2023-01-19;0;0;12;6;11;False
2023-01-20;0;1;15;5;9;False
2023-01-21;0;0;18;4;9;False
2023-01-22;0;0;17;4;10;False
2023-01-23;0;0;10;2;11;False
2023-01-24;0;0;20;3;8;False
2023-01-25;1;2;18;6;11;False
2023-01-26;2;1;27;23;10;False
2023-01-27;1;2;24;12;7;False
2023-01-28;0;0;13;3;10;False
2023-01-29;0;1;16;8;9;False
2023-01-30;0;1;15;7;15;False
2023-01-31;0;0;19;7;12;False
