date;24;Atlético Madrid;City mayors;Iain Duncan Smith;air travel;isPartial
2023-01-01;88;0;0;0;3;False
2023-01-02;90;0;0;0;4;False
2023-01-03;85;0;0;0;2;False
2023-01-04;98;2;0;0;4;False
2023-01-05;88;0;0;0;3;False
2023-01-06;87;0;0;0;3;False
2023-01-07;83;0;0;0;2;False
2023-01-08;86;25;0;0;4;False
2023-01-09;87;6;0;0;2;False
2023-01-10;87;0;0;0;3;False
2023-01-11;82;0;0;0;4;False
2023-01-12;82;0;0;0;3;False
2023-01-13;80;0;0;0;3;False
2023-01-14;81;0;0;0;2;False
2023-01-15;83;3;0;0;3;False
2023-01-16;83;0;0;1;3;False
2023-01-17;83;0;0;1;2;False
2023-01-18;83;2;0;0;3;False
2023-01-19;80;1;0;0;3;False
2023-01-20;81;0;0;0;3;False
2023-01-21;90;4;0;0;3;False
2023-01-22;91;0;0;2;3;False
2023-01-23;87;0;0;0;3;False
2023-01-24;99;0;0;0;2;False
2023-01-25;83;0;0;0;3;False
2023-01-26;77;31;0;0;3;False
2023-01-27;83;5;0;0;2;False
2023-01-28;88;2;0;0;3;False
2023-01-29;93;4;0;0;3;False
2023-01-30;100;0;0;0;4;False
2023-01-31;85;0;0;0;4;False
