date;Roman Abramovich;Hamza Yassin;Azealia Banks;Ferry travel;air travel;isPartial
2023-01-01;6;94;0;21;76;False
2023-01-02;10;10;8;23;90;False
2023-01-03;16;49;15;27;59;False
2023-01-04;16;27;0;21;89;False
2023-01-05;26;23;0;12;73;False
2023-01-06;14;19;0;12;73;False
2023-01-07;26;28;7;30;53;False
2023-01-08;39;25;0;25;84;False
2023-01-09;32;0;0;19;50;False
2023-01-10;17;63;0;18;79;False
2023-01-11;15;82;6;19;90;False
2023-01-12;7;33;14;32;75;False
2023-01-13;6;34;5;17;60;False
2023-01-14;0;16;19;21;56;False
2023-01-15;19;28;10;20;66;False
2023-01-16;17;20;8;14;68;False
2023-01-17;19;8;7;6;56;False
2023-01-18;5;35;0;21;80;False
2023-01-19;5;12;6;6;73;False
2023-01-20;11;24;31;22;59;False
2023-01-21;0;17;14;19;63;False
2023-01-22;0;25;19;22;70;False
2023-01-23;0;43;13;7;72;False
2023-01-24;6;14;15;14;55;False
2023-01-25;8;17;8;12;75;False
2023-01-26;9;16;0;9;68;False
2023-01-27;10;0;14;23;47;False
2023-01-28;10;98;6;0;66;False
2023-01-29;11;21;5;12;60;False
2023-01-30;6;0;0;17;100;False
2023-01-31;20;10;6;28;84;False
