date;Toronto;Syria;Politics books;Tom Cruise;air travel;isPartial
2023-01-01;74;17;0;100;13;False
2023-01-02;67;17;2;87;15;False
2023-01-03;65;16;0;50;10;False
2023-01-04;65;11;1;42;15;False
2023-01-05;52;15;1;39;12;False
2023-01-06;66;11;2;63;12;False
2023-01-07;57;13;0;66;9;False
2023-01-08;66;13;0;53;14;False
2023-01-09;54;16;1;29;8;False
2023-01-10;60;30;0;32;13;False
2023-01-11;54;18;0;40;15;False
2023-01-12;61;18;0;33;12;False
2023-01-13;63;12;0;32;10;False
2023-01-14;57;12;2;71;9;False
2023-01-15;66;9;1;48;11;False
2023-01-16;52;11;0;35;11;False
2023-01-17;58;14;0;25;9;False
2023-01-18;52;12;1;22;13;False
2023-01-19;53;11;1;32;12;False
2023-01-20;59;12;0;43;10;False
2023-01-21;62;10;1;84;10;False
2023-01-22;68;11;0;50;12;False
2023-01-23;56;16;0;30;12;False
2023-01-24;61;15;0;33;9;False
2023-01-25;57;15;0;37;12;False
2023-01-26;59;11;1;36;11;False
2023-01-27;57;12;1;37;8;False
2023-01-28;55;14;2;69;11;False
2023-01-29;54;16;0;50;10;False
2023-01-30;58;15;0;30;16;False
2023-01-31;63;18;0;29;14;False
