date;Shakira;Leicester City;House prices;Bryan Singer;air travel;isPartial
2023-01-01;7;15;41;0;4;False
2023-01-02;4;16;41;0;5;False
2023-01-03;4;61;41;0;3;False
2023-01-04;4;24;38;1;4;False
2023-01-05;4;13;44;1;4;False
2023-01-06;6;19;44;1;4;False
2023-01-07;5;59;41;1;3;False
2023-01-08;4;15;44;0;4;False
2023-01-09;3;15;38;0;2;False
2023-01-10;5;100;40;0;4;False
2023-01-11;6;30;40;0;4;False
2023-01-12;34;13;39;0;4;False
2023-01-13;55;18;38;0;3;False
2023-01-14;56;73;38;0;3;False
2023-01-15;50;22;37;0;3;False
2023-01-16;40;17;44;1;3;False
2023-01-17;29;15;37;1;3;False
2023-01-18;31;20;42;1;4;False
2023-01-19;39;16;40;0;4;False
2023-01-20;33;23;37;0;3;False
2023-01-21;27;83;41;0;3;False
2023-01-22;20;18;40;0;3;False
2023-01-23;14;17;41;0;4;False
2023-01-24;15;17;37;0;3;False
2023-01-25;11;17;39;0;4;False
2023-01-26;18;16;41;0;3;False
2023-01-27;15;17;37;0;2;False
2023-01-28;15;63;35;0;3;False
2023-01-29;14;19;42;0;3;False
2023-01-30;10;21;39;0;5;False
2023-01-31;10;31;39;1;4;False
