date;Farming;Wilco;Telecommunications industry;Disco;air travel;isPartial
2023-01-01;39;6;1;42;7;False
2023-01-02;37;7;1;38;9;False
2023-01-03;32;5;0;33;6;False
2023-01-04;39;8;0;36;9;False
2023-01-05;39;6;0;32;7;False
2023-01-06;32;6;0;42;7;False
2023-01-07;27;7;0;43;5;False
2023-01-08;35;6;0;39;8;False
2023-01-09;37;6;0;39;5;False
2023-01-10;36;5;0;36;8;False
2023-01-11;35;4;0;39;9;False
2023-01-12;36;5;0;40;7;False
2023-01-13;31;5;0;44;6;False
2023-01-14;29;8;0;42;5;False
2023-01-15;35;6;0;46;6;False
2023-01-16;36;5;0;36;7;False
2023-01-17;36;6;0;38;5;False
2023-01-18;33;4;1;36;8;False
2023-01-19;39;6;0;38;7;False
2023-01-20;34;5;0;43;6;False
2023-01-21;30;6;0;54;6;False
2023-01-22;33;7;0;40;7;False
2023-01-23;30;6;0;35;7;False
2023-01-24;39;7;0;100;5;False
2023-01-25;35;5;1;70;7;False
2023-01-26;37;7;1;51;7;False
2023-01-27;35;5;0;49;5;False
2023-01-28;32;6;0;50;6;False
2023-01-29;35;5;0;48;6;False
2023-01-30;37;5;3;30;10;False
2023-01-31;36;6;0;39;8;False
