date;Grammys;Lancashire holidays;Side dishes;Jordan Peterson;air travel;isPartial
2023-01-01;12;8;6;41;28;False
2023-01-02;7;4;6;51;34;False
2023-01-03;6;3;8;56;22;False
2023-01-04;8;2;13;53;33;False
2023-01-05;7;0;8;86;27;False
2023-01-06;6;0;11;100;27;False
2023-01-07;2;2;10;75;20;False
2023-01-08;6;2;13;72;31;False
2023-01-09;8;2;0;58;19;False
2023-01-10;4;2;0;49;29;False
2023-01-11;11;2;0;46;33;False
2023-01-12;15;0;8;55;28;False
2023-01-13;11;0;8;41;22;False
2023-01-14;14;2;11;43;21;False
2023-01-15;12;0;11;40;25;False
2023-01-16;3;3;4;49;25;False
2023-01-17;7;10;15;43;21;False
2023-01-18;7;2;6;47;30;False
2023-01-19;8;3;6;38;27;False
2023-01-20;8;0;10;41;22;False
2023-01-21;9;2;9;50;23;False
2023-01-22;13;0;7;40;26;False
2023-01-23;24;10;10;41;27;False
2023-01-24;8;0;7;51;21;False
2023-01-25;13;2;8;35;28;False
2023-01-26;14;0;4;23;25;False
2023-01-27;14;5;10;37;18;False
2023-01-28;13;0;3;52;25;False
2023-01-29;11;0;8;54;22;False
2023-01-30;8;0;5;48;37;False
2023-01-31;25;0;8;54;31;False
