date;Kim Kardashian;Sergei Rachmaninov;north yorkshire;Food safety;air travel;isPartial
2023-01-01;71;0;72;9;21;False
2023-01-02;60;0;92;10;25;False
2023-01-03;45;0;86;12;16;False
2023-01-04;53;0;80;19;24;False
2023-01-05;52;0;74;15;20;False
2023-01-06;62;0;79;18;20;False
2023-01-07;46;0;79;11;15;False
2023-01-08;94;0;70;10;23;False
2023-01-09;92;0;77;16;14;False
2023-01-10;64;2;79;15;22;False
2023-01-11;52;1;74;25;25;False
2023-01-12;47;0;72;18;20;False
2023-01-13;53;2;72;13;16;False
2023-01-14;57;0;73;8;15;False
2023-01-15;56;0;79;11;18;False
2023-01-16;47;0;100;22;19;False
2023-01-17;48;3;81;15;15;False
2023-01-18;64;4;91;18;22;False
2023-01-19;80;4;75;18;20;False
2023-01-20;73;0;70;15;16;False
2023-01-21;77;0;81;10;17;False
2023-01-22;60;0;77;12;19;False
2023-01-23;49;0;74;16;20;False
2023-01-24;58;0;89;12;15;False
2023-01-25;55;0;90;23;21;False
2023-01-26;51;0;79;16;19;False
2023-01-27;44;2;69;14;13;False
2023-01-28;59;0;60;14;18;False
2023-01-29;57;0;82;16;17;False
2023-01-30;46;0;85;16;27;False
2023-01-31;51;0;87;19;23;False
