date;Emma Thompson;Rail travel;Chips (french fries);Whitbread;air travel;isPartial
2023-01-01;68;15;0;10;23;False
2023-01-02;55;17;3;2;27;False
2023-01-03;39;15;5;20;17;False
2023-01-04;37;9;0;20;26;False
2023-01-05;25;9;0;22;22;False
2023-01-06;30;13;3;23;22;False
2023-01-07;60;11;0;12;16;False
2023-01-08;67;16;0;9;25;False
2023-01-09;100;14;0;18;15;False
2023-01-10;39;11;0;18;23;False
2023-01-11;26;13;0;18;26;False
2023-01-12;21;12;0;33;22;False
2023-01-13;31;10;0;18;18;False
2023-01-14;45;9;0;2;17;False
2023-01-15;39;14;0;22;20;False
2023-01-16;22;18;0;21;20;False
2023-01-17;19;11;1;24;16;False
2023-01-18;23;4;0;12;24;False
2023-01-19;34;13;0;16;22;False
2023-01-20;28;13;0;19;17;False
2023-01-21;37;11;0;9;19;False
2023-01-22;32;7;0;9;21;False
2023-01-23;15;6;0;22;21;False
2023-01-24;22;16;0;23;16;False
2023-01-25;21;10;0;20;22;False
2023-01-26;20;12;3;16;20;False
2023-01-27;24;8;5;19;14;False
2023-01-28;32;11;0;17;19;False
2023-01-29;53;7;2;7;18;False
2023-01-30;19;12;4;20;30;False
2023-01-31;14;11;0;19;25;False
