date;Comedy films;De La Soul;UFC;Franco Zeffirelli;air travel;isPartial
2023-01-01;2;0;15;0;2;False
2023-01-02;1;0;14;0;2;False
2023-01-03;0;2;13;0;1;False
2023-01-04;1;1;12;1;2;False
2023-01-05;0;1;11;0;2;False
2023-01-06;1;1;13;0;2;False
2023-01-07;1;0;17;0;1;False
2023-01-08;1;0;18;0;2;False
2023-01-09;0;0;12;0;1;False
2023-01-10;0;0;13;0;2;False
2023-01-11;0;0;11;0;2;False
2023-01-12;0;1;13;0;2;False
2023-01-13;1;1;15;0;1;False
2023-01-14;1;1;38;0;1;False
2023-01-15;1;0;54;0;1;False
2023-01-16;0;0;20;0;1;False
2023-01-17;0;0;18;0;1;False
2023-01-18;0;0;19;0;2;False
2023-01-19;0;0;18;0;2;False
2023-01-20;1;0;28;0;1;False
2023-01-21;1;0;54;0;1;False
2023-01-22;1;0;100;0;2;False
2023-01-23;1;0;21;0;2;False
2023-01-24;0;0;18;0;1;False
2023-01-25;1;0;21;0;2;False
2023-01-26;0;0;24;0;1;False
2023-01-27;1;0;31;0;1;False
2023-01-28;1;0;31;0;1;False
2023-01-29;1;0;22;0;1;False
2023-01-30;0;0;15;0;2;False
2023-01-31;0;0;16;0;2;False
