date;matt hancock;Sky News Australia;Ange Postecoglou;Nottingham;air travel;isPartial
2023-01-01;1;0;0;80;1;False
2023-01-02;0;0;1;52;1;False
2023-01-03;0;0;0;49;1;False
2023-01-04;2;0;0;65;1;False
2023-01-05;1;0;0;50;1;False
2023-01-06;1;0;0;50;1;False
2023-01-07;0;0;0;48;1;False
2023-01-08;1;0;0;45;1;False
2023-01-09;0;0;0;49;1;False
2023-01-10;0;0;0;50;1;False
2023-01-11;1;0;0;78;1;False
2023-01-12;1;0;0;60;1;False
2023-01-13;0;0;0;57;1;False
2023-01-14;1;0;0;67;1;False
2023-01-15;0;0;0;48;1;False
2023-01-16;0;0;0;56;1;False
2023-01-17;0;0;0;54;1;False
2023-01-18;0;0;0;53;1;False
2023-01-19;0;0;0;57;1;False
2023-01-20;0;0;0;56;1;False
2023-01-21;0;0;0;65;1;False
2023-01-22;0;0;0;50;1;False
2023-01-23;1;0;0;53;1;False
2023-01-24;1;0;0;53;1;False
2023-01-25;4;0;0;100;1;False
2023-01-26;6;0;0;56;1;False
2023-01-27;4;0;0;55;1;False
2023-01-28;2;0;0;54;1;False
2023-01-29;1;0;0;50;1;False
2023-01-30;1;0;0;58;1;False
2023-01-31;4;0;0;68;1;False
