date;Fashion weeks;crime;pope francis;kim jong un;air travel;isPartial
2023-01-01;0;76;26;1;6;False
2023-01-02;0;83;14;7;7;False
2023-01-03;0;83;8;3;5;False
2023-01-04;1;85;14;2;7;False
2023-01-05;0;93;21;2;6;False
2023-01-06;0;79;9;2;6;False
2023-01-07;0;77;4;7;4;False
2023-01-08;0;81;3;4;7;False
2023-01-09;0;95;3;2;4;False
2023-01-10;0;95;2;2;6;False
2023-01-11;0;87;3;1;7;False
2023-01-12;1;99;2;2;6;False
2023-01-13;0;82;2;3;5;False
2023-01-14;0;77;2;1;4;False
2023-01-15;0;84;1;2;5;False
2023-01-16;1;99;2;1;5;False
2023-01-17;0;97;2;1;4;False
2023-01-18;1;96;2;2;6;False
2023-01-19;0;85;2;1;6;False
2023-01-20;0;81;2;2;5;False
2023-01-21;0;73;2;4;5;False
2023-01-22;1;77;2;1;5;False
2023-01-23;1;91;1;1;6;False
2023-01-24;0;89;1;2;4;False
2023-01-25;0;100;4;2;6;False
2023-01-26;0;99;10;1;5;False
2023-01-27;1;88;3;4;4;False
2023-01-28;0;70;3;2;5;False
2023-01-29;0;82;2;2;5;False
2023-01-30;0;83;2;1;8;False
2023-01-31;0;88;3;1;6;False
