date;Queensland;US television;Australian rules football;seoul stampede;air travel;isPartial
2023-01-01;50;0;0;0;60;False
2023-01-02;100;0;10;0;71;False
2023-01-03;68;8;0;0;46;False
2023-01-04;72;0;0;0;69;False
2023-01-05;48;4;0;0;57;False
2023-01-06;51;0;0;0;57;False
2023-01-07;40;5;4;7;42;False
2023-01-08;54;10;0;6;66;False
2023-01-09;38;0;10;0;39;False
2023-01-10;58;0;0;0;62;False
2023-01-11;30;4;0;0;70;False
2023-01-12;45;0;0;0;58;False
2023-01-13;27;0;0;0;47;False
2023-01-14;45;0;0;0;44;False
2023-01-15;42;0;0;0;52;False
2023-01-16;28;4;0;0;53;False
2023-01-17;53;5;0;0;43;False
2023-01-18;43;0;0;0;62;False
2023-01-19;50;0;0;5;57;False
2023-01-20;53;7;0;0;46;False
2023-01-21;43;10;6;0;49;False
2023-01-22;41;0;0;0;55;False
2023-01-23;44;7;0;10;56;False
2023-01-24;35;9;7;0;43;False
2023-01-25;34;0;0;0;59;False
2023-01-26;31;0;0;0;53;False
2023-01-27;50;0;0;0;37;False
2023-01-28;40;0;0;0;51;False
2023-01-29;46;5;0;0;47;False
2023-01-30;44;0;0;0;78;False
2023-01-31;32;0;0;0;65;False
