date;Preston North End;Coventry;Louisiana;Festivals;air travel;isPartial
2023-01-01;1;71;1;5;2;False
2023-01-02;3;63;1;5;2;False
2023-01-03;1;63;1;6;2;False
2023-01-04;2;61;2;6;2;False
2023-01-05;1;59;1;6;2;False
2023-01-06;1;64;2;5;2;False
2023-01-07;3;100;2;5;1;False
2023-01-08;5;61;2;5;2;False
2023-01-09;2;59;1;5;1;False
2023-01-10;2;62;2;6;2;False
2023-01-11;1;59;1;5;2;False
2023-01-12;2;61;1;6;2;False
2023-01-13;1;58;1;6;2;False
2023-01-14;5;64;2;6;1;False
2023-01-15;1;57;2;5;2;False
2023-01-16;2;63;1;5;2;False
2023-01-17;2;61;1;6;1;False
2023-01-18;1;62;1;5;2;False
2023-01-19;1;62;1;5;2;False
2023-01-20;1;67;1;5;2;False
2023-01-21;3;79;1;6;2;False
2023-01-22;2;56;1;6;2;False
2023-01-23;2;65;1;6;2;False
2023-01-24;2;65;1;7;1;False
2023-01-25;2;62;1;8;2;False
2023-01-26;2;59;1;7;2;False
2023-01-27;2;59;1;7;1;False
2023-01-28;27;67;1;6;2;False
2023-01-29;3;55;1;7;2;False
2023-01-30;1;66;1;7;3;False
2023-01-31;2;68;2;6;2;False
