date;Peer review and scientific publishing;Greyhound racing;AFL;Ohio;air travel;isPartial
2023-01-01;0;14;4;100;15;False
2023-01-02;0;16;1;56;18;False
2023-01-03;0;17;0;48;11;False
2023-01-04;0;16;7;53;17;False
2023-01-05;0;12;2;55;14;False
2023-01-06;0;10;5;55;14;False
2023-01-07;0;14;6;47;10;False
2023-01-08;0;10;5;64;16;False
2023-01-09;0;15;4;46;10;False
2023-01-10;0;16;1;47;15;False
2023-01-11;0;9;4;44;17;False
2023-01-12;0;12;3;49;14;False
2023-01-13;0;13;4;43;12;False
2023-01-14;0;15;5;44;11;False
2023-01-15;0;13;8;44;13;False
2023-01-16;0;11;6;41;13;False
2023-01-17;0;13;4;40;11;False
2023-01-18;0;11;4;41;16;False
2023-01-19;0;12;4;38;14;False
2023-01-20;0;13;4;50;11;False
2023-01-21;0;18;7;43;12;False
2023-01-22;0;9;7;44;14;False
2023-01-23;0;14;3;46;14;False
2023-01-24;0;15;5;43;11;False
2023-01-25;0;15;5;44;15;False
2023-01-26;0;13;4;42;13;False
2023-01-27;0;12;4;39;9;False
2023-01-28;0;14;5;38;13;False
2023-01-29;0;9;6;40;12;False
2023-01-30;0;11;2;43;19;False
2023-01-31;0;9;3;36;16;False
